Users,SpawnRate
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
3,1
2,1
3,1
1,1
1,1
1,1
2,1
2,1
3,1
4,1
4,1
4,1
5,1
1,1
4,1
5,1
6,1
6,1
4,1
21,1
24,1
24,1
26,1
26,1
25,1
21,1
26,1
16,1
17,1
18,1
21,1
102,1
98,1
99,1
106,1
99,1
80,1
86,1
89,1
87,1
94,1
96,1
90,1
91,1
113,1
79,1
78,1
103,1
91,1
108,1
97,1
82,1
83,1
105,1
101,1
115,1
113,1
115,1
121,1
115,1
123,1
114,1
120,1
110,1
119,1
115,1
109,1
80,1
79,1
69,1
81,1
78,1
57,1
64,1
87,1
88,1
71,1
66,1
83,1
62,1
72,1
58,1
85,1
63,1
63,1
69,1
72,1
73,1
78,1
78,1
78,1
94,1
72,1
68,1
83,1
71,1
71,1
82,1
79,1
89,1
74,1
89,1
78,1
90,1
94,1
85,1
91,1
90,1
80,1
91,1
83,1
88,1
80,1
73,1
89,1
72,1
69,1
57,1
68,1
73,1
56,1
58,1
75,1
77,1
59,1
47,1
55,1
52,1
56,1
46,1
45,1
65,1
59,1
50,1
47,1
53,1
45,1
58,1
47,1
44,1
50,1
43,1
35,1
36,1
43,1
48,1
31,1
35,1
35,1
33,1
40,1
28,1
25,1
24,1
31,1
24,1
27,1
26,1
34,1
28,1
35,1
39,1
26,1
18,1
29,1
19,1
19,1
18,1
20,1
22,1
15,1
24,1
26,1
29,1
18,1
20,1
22,1
26,1
15,1
16,1
24,1
15,1
15,1
20,1
13,1
12,1
32,1
28,1
17,1
17,1
21,1
12,1
16,1
15,1
19,1
15,1
15,1
13,1
17,1
18,1
16,1
17,1
17,1
13,1
19,1
10,1
21,1
16,1
9,1
15,1
13,1
11,1
11,1
11,1
12,1
11,1
10,1
7,1
11,1
10,1
9,1
12,1
15,1
12,1
7,1
4,1
3,1
7,1
6,1
9,1
5,1
7,1
8,1
8,1
5,1
6,1
3,1
6,1
2,1
2,1
4,1
6,1
6,1
7,1
8,1
5,1
5,1
