Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create personal enrollment,1,0,782.9222150030546,782.9222150030546,782.9222150030546,782.9222150030546,170.0,0.0010852562425689204,0.0,780,780,780,780,780,780,780,780,780,780,780
DELETE,delete personal enrollment by id,2,0,19.49684601277113,45.193066995125264,19.49684601277113,70.8892879774794,170.0,0.002170512485137841,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,download attachment from objective,15,15,13,124.93281178952505,10.778383002616465,950.1063689822331,162.0,0.016278843638533807,0.016278843638533807,13,37,72,150,520,950,950,950,950,950,950
GET,get activity records by query,28,0,25,29.678285284067638,22.64951798133552,97.7193129947409,57.0,0.030387174791929775,0.0,25,26,26,28,34,72,98,98,98,98,98
GET,get activity with aggregates by objective workflow aggregate id,70,0,16,18.713020985679968,13.960940996184945,149.1995469550602,1272.1142857142856,0.07596793697982443,0.0,16,16,17,17,19,22,50,150,150,150,150
GET,get created personal enrollment state by id,11,0,12,14.360662914854897,11.062696983572096,28.92725297715515,177.63636363636363,0.011937818668258125,0.0,12,12,12,12,23,29,29,29,29,29,29
GET,get deleted personal enrollment state by id,18,0,12,13.661108493882542,10.866252996493131,28.829327027779073,167.22222222222223,0.01953461236624057,0.0,12,12,12,13,28,29,29,29,29,29,29
GET,get objective by id,141,0,15,22.94297483939585,11.617666983511299,637.5557759893127,29492.510638297874,0.15302113020221778,0.0,15,19,20,20,22,28,110,130,640,640,640
GET,get objective personal enrollments by query,2,0,19.182495016139,41.514696524245664,19.182495016139,63.84689803235233,4564.5,0.002170512485137841,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,get objective records by objective workflow aggregate id,99,0,19,32.16163000865661,16.57315995544195,959.5343450200744,2.0,0.10744036801432312,0.0,19,19,20,20,24,30,310,960,960,960,960
GET,get objective workflow aggregate by id,99,0,14,27.696997350589797,11.841242027003318,945.7311360165477,1591.4646464646464,0.10744036801432312,0.0,14,14,15,15,21,43,280,950,950,950,950
GET,get objective workflow aggregate by objective id,71,0,14,15.962841841031496,12.331762001849711,90.4335739905946,1522.281690140845,0.07705319322239336,0.0,14,15,15,15,17,19,42,90,90,90,90
GET,get objectives by query,56,0,29,57.052694413869176,24.06171098118648,716.9821910210885,31694.553571428572,0.06077434958385955,0.0,29,32,35,35,46,270,550,720,720,720,720
GET,get started activity workflow state by id,100,0,12,12.865562028018758,10.162835998926312,42.25975199369714,189.73,0.10852562425689205,0.0,12,12,13,13,15,19,25,42,42,42,42
GET,get started objective workflow state by id,613,0,12,13.552607581221467,10.50153496908024,63.69373801862821,158.18597063621533,0.6652620766947482,0.0,12,13,13,13,14,16,44,48,64,64,64
GET,get updated objective state by id,133,0,12,13.94234876773369,10.55487000849098,95.90750298229977,202.7669172932331,0.14433908026166642,0.0,12,12,13,13,14,19,40,75,96,96,96
GET,get user activity workflow aggregates by query,99,0,21,48.55936917892629,16.590896993875504,1006.8797820131294,1020.070707070707,0.10744036801432312,0.0,21,30,60,63,70,76,310,1000,1000,1000,1000
GET,get user me,107,0,16,50.51688691459718,11.292910960037261,1018.4064380009659,396.7289719626168,0.11612241795487449,0.0,16,17,18,18,100,220,580,590,1000,1000,1000
GET,get user objective workflow aggregates,107,0,19,63.83983664884815,13.567107962444425,1229.8920210450888,10278.364485981308,0.11612241795487449,0.0,19,20,21,21,24,140,1200,1200,1200,1200,1200
GET,get user permissions,36,0,11,25.761971942200844,10.109069000463933,530.0168009707704,3731.0,0.03906922473248114,0.0,11,12,12,12,13,13,530,530,530,530,530
GET,get user roles,36,0,13,12.892986783602586,10.917720035649836,21.79571898886934,113.0,0.03906922473248114,0.0,13,13,14,14,14,16,22,22,22,22,22
GET,get users by query,1,0,31.076854036655277,31.076854036655277,31.076854036655277,31.076854036655277,333.0,0.0010852562425689204,0.0,31,31,31,31,31,31,31,31,31,31,31
POST,login Instructor user,4,0,45,49.01451051409822,40.182736003771424,65.34343503881246,1083.0,0.004341024970275682,0.0,46,46,65,65,65,65,65,65,65,65,65
POST,login Learner user,10,0,45,70.6818702921737,41.060624003876,185.08378200931475,1083.0,0.010852562425689204,0.0,51,57,58,140,190,190,190,190,190,190,190
POST,start activity workflow,28,0,18,21.821916897481838,15.599615988321602,75.68740897113457,167.0,0.030387174791929775,0.0,18,20,24,24,27,37,76,76,76,76,76
POST,start objective workflow,28,0,18,97.2983200647702,15.744048985652626,2216.0294220084324,168.0,0.030387174791929775,0.0,19,19,20,20,23,23,2200,2200,2200,2200,2200
PUT,update objective,53,0,25,86.88613426550907,21.681012003682554,1036.7877680109814,160.0,0.05751858085615279,0.0,25,26,29,31,48,480,970,1000,1000,1000,1000
POST,upload attachment to objective,9,2,410.0,383.534528560833,24.877244024537504,602.977396978531,149.44444444444446,0.009767306183120284,0.002170512485137841,410,530,540,570,600,600,600,600,600,600,600
POST,upload image to objective,14,0,620.0,1122.3812113540978,400.49910795642063,5927.797875017859,190.64285714285714,0.015193587395964887,0.0,640,790,990,1600,1700,5900,5900,5900,5900,5900,5900
,Aggregated,1991,17,14,38.5673392395604,10.109069000463933,5927.797875017859,3952.152184831743,2.1607451789547207,0.01844935612367165,14,17,19,20,29,62,430,720,2200,5900,5900
