Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,create personal enrollment,170,0,300.0,649.7362251824918,283.3718620095169,4090.567973005818,170.0,0.5647675121000618,0.0,310,560,830,1100,1500,1600,2600,3700,4100,4100,4100
DELETE,delete personal enrollment by id,4,0,300.0,735.7276302464015,292.1286019991385,2039.9252919887658,170.0,0.013288647343530866,0.0,310,310,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,get activities by query,70,0,3000.0,3717.1068792428873,575.273462003679,38408.55433800607,42001.3,0.23255132851179014,0.0,3000,3700,4200,4600,5600,7900,8100,38000,38000,38000,38000
GET,get activity with aggregates by objective workflow aggregate id,3,0,1800.0,1937.4397426678722,1243.3168800052954,2753.1207959982567,26118.333333333332,0.00996648550764815,0.0,1800,1800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,get created personal enrollment state by id,195,0,300.0,565.9094185540034,279.09942000405863,4237.099575999309,361.1897435897436,0.6478215579971297,0.0,300,350,510,640,1200,1700,2900,3600,4200,4200,4200
GET,get deleted personal enrollment state by id,4,0,290.0,288.3749885040743,281.70672300620936,293.2991099951323,288.75,0.013288647343530866,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,get objective by id,15,0,5700.0,5948.015145535464,2149.2260770028224,13712.125417005154,76729.66666666667,0.04983242753824074,0.0,5700,6900,7100,8500,8500,14000,14000,14000,14000,14000,14000
GET,get objective personal enrollments by query,4,0,290.0,978.7264882506861,285.1051500038011,2028.2438900030684,3862.25,0.013288647343530866,0.0,1300,1300,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,get objective records by objective workflow aggregate id,3,0,330.0,342.65877367094316,328.5746269975789,370.0879270036239,2.0,0.00996648550764815,0.0,330,330,370,370,370,370,370,370,370,370,370
GET,get objective workflow aggregate by id,3,0,320.0,748.723191335254,294.5463659998495,1627.964746003272,1960.3333333333333,0.00996648550764815,0.0,320,320,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,get objective workflow aggregate by objective id,3,0,290.0,297.99948600217857,286.6068169969367,314.58312101312913,1960.3333333333333,0.00996648550764815,0.0,290,290,310,310,310,310,310,310,310,310,310
GET,get objectives by query,306,0,4400.0,5186.179653545345,860.6376699899556,30985.350571005256,75328.51633986928,1.0165815217801113,0.0,4400,5500,6300,7100,8700,10000,15000,20000,31000,31000,31000
GET,get updated activity,70,0,290.0,704.5755275429526,279.3907479936024,5910.864492994733,277.75714285714287,0.23255132851179014,0.0,290,450,1000,1100,1400,1600,4600,5900,5900,5900,5900
GET,get updated objective state by id,138,0,310.0,677.5754078848547,278.81534000334796,3974.8604750056984,268.7028985507246,0.45845833335181485,0.0,310,470,940,1100,1400,2300,3500,3500,4000,4000,4000
GET,get user activity workflow aggregates by query,3,0,430.0,425.3204369985421,349.45316599623766,496.7101630027173,57.0,0.00996648550764815,0.0,430,430,500,500,500,500,500,500,500,500,500
GET,get user me,227,0,300.0,578.5407346654334,276.7254849895835,5298.850131002837,367.1806167400881,0.7541307367453766,0.0,300,390,550,640,1300,1700,2700,3800,5300,5300,5300
GET,get user objective workflow aggregates,225,0,570.0,678.8267073022952,280.2096500090556,4172.855543991318,4540.48,0.7474864130736112,0.0,570,640,770,910,1300,1500,2200,2200,4200,4200,4200
GET,get user permissions,219,0,570.0,752.8440387309295,278.92698399955407,5949.436192997382,4141.0,0.7275534420583148,0.0,570,660,810,870,1300,1800,2800,3400,5900,5900,5900
GET,get user roles,218,0,300.0,487.40451746809015,278.8316100049997,2586.805614992045,113.0,0.7242312802224321,0.0,300,360,480,640,1100,1300,1600,1700,2600,2600,2600
GET,get users by query,172,0,370.0,799.4590279827102,278.13881800102536,4899.201406005886,347.18023255813955,0.5714118357718272,0.0,380,940,1100,1300,1800,2300,3300,3500,4900,4900,4900
POST,login Instructor user,2,0,940.0,1477.81244199723,938.5709280031733,2017.0539559912868,1086.0,0.006644323671765433,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,login Learner user,12,0,940.0,974.9794158318158,322.93261599261314,2233.3029950095806,1086.0,0.0398659420305926,0.0,970,980,1500,1500,1600,2200,2200,2200,2200,2200,2200
PUT,update activity,69,0,780.0,1145.6535078981212,296.79672099882737,5999.984525988111,160.0,0.22922916667590743,0.0,780,1200,1600,1700,2300,2700,5800,6000,6000,6000,6000
PUT,update objective,127,0,980.0,1245.2872601100776,299.2889640008798,4920.218471001135,160.0,0.42191455315710497,0.0,980,1200,1800,1900,2400,2800,3000,3600,4900,4900,4900
POST,upload attachment to activity,18,18,2400.0,5262.46545122073,774.2144750081934,23397.859581004013,8340.5,0.05979891304588889,0.05979891304588889,2500,3000,3400,3900,22000,23000,23000,23000,23000,23000,23000
POST,upload attachment to objective,35,35,2000.0,3219.3216611992934,496.56366399722174,21335.467187003815,8292.457142857143,0.11627566425589507,0.11627566425589507,2000,2800,3500,3900,6000,16000,21000,21000,21000,21000,21000
POST,upload image to activity,14,14,3300.0,5461.630936142423,1094.0775549970567,24577.155138991657,8338.5,0.04651026570235803,0.04651026570235803,3500,4300,4800,6300,12000,25000,25000,25000,25000,25000,25000
POST,upload image to objective,31,31,3500.0,3930.0384673885173,910.0343869940843,12149.371475010412,8290.258064516129,0.10298701691236421,0.10298701691236421,3500,4100,4900,5200,6100,7100,12000,12000,12000,12000,12000
,Aggregated,2360,98,580.0,1554.8898152445931,276.7254849895835,38408.55433800607,12865.189830508474,7.840301932683211,0.3255718599165062,580,1100,1600,2200,4100,5900,8200,11000,25000,38000,38000
