Label,Unique Pageviews,Year
enrol,18293,2017
unenrol,4231,2017
enrol,22549,2018
unenrol,4539,2018
enrol,22842,2019
unenrol,4722,2019
enrol,23609,2020
unenrol,4660,2020
enrol,31130,2021
unenrol,932,2021

